Size,Time
78700,3500
78800,3506
78900,3524
79000,3518
79100,3545
79200,3522
79300,3523
79400,3536
79500,3536
79600,3533
79700,3538
79800,3555
79900,3509
80000,3571
80100,3505
80200,3504
80300,3514
80400,3579
80500,3594
80600,3577
80700,3502
80800,3566
80900,3543
81000,3546
81100,3596
81200,3583
81300,3562
81400,3602
81500,3602
81600,3655
81700,3590
81800,3602
81900,3603
82000,3555
82100,3569
82200,3585
82300,3569
82400,3647
82500,3658
82600,3679
82700,3686
82800,3692
82900,3659
83000,3628
83100,3719
83200,3718
83300,3733
83400,3697
83500,3701
83600,3762
83700,3755
83800,3690
83900,3687
84000,3699
84100,3747
84200,3725
84300,3735
84400,3723
84500,3738
84600,3758
84700,3779
84800,4531
84900,3734
85000,3765
85100,3780
85200,3836
85300,3747
85400,3747
85500,3775
85600,3803
85700,3815
85800,3801
85900,3843
86000,3799
86100,3833
86200,3838
86300,4895
86400,3861
86500,3833
86600,3848
86700,3845
86800,3842
86900,3864
87000,3822
87100,3829
87200,3841
87300,3833
87400,3843
87500,3868
87600,3875
87700,3866
87800,3839
87900,3854
88000,3981
88100,3917
88200,3896
88300,4172
88400,3927
88500,4032
88600,3939
88700,3992
88800,3992
88900,3892
89000,3906
89100,3929
89200,3940
89300,3951
89400,3939
89500,3929
89600,3996
89700,3942
89800,3959
89900,3927
90000,3985
90100,3986
90200,3966
90300,4031
90400,3966
90500,3977
90600,4022
90700,4059
90800,4012
90900,3996
91000,4058
91100,3999
91200,4087
91300,4107
91400,4065
91500,4078
91600,4174
91700,4110
91800,4047
91900,4049
92000,4113
92100,4100
92200,4163
92300,4067
92400,4084
92500,4119
92600,4114
92700,4104
92800,4090
92900,6297
93000,4164
93100,4087
93200,4186
93300,4093
93400,4131
93500,4122
93600,4173
93700,4175
93800,4190
93900,4127
94000,4120
94100,4176
94200,4421
94300,4119
94400,4151
94500,4136
94600,4160
94700,4132
94800,4123
94900,4156
95000,4163
95100,4156
95200,4195
95300,4178
95400,4181
95500,4220
95600,4211
95700,4234
95800,4225
95900,4234
96000,4223
96100,4217
96200,4230
96300,4220
96400,4166
96500,4160
96600,4164
96700,4184
96800,4220
96900,4219
97000,4251
97100,4233
97200,4227
97300,4289
97400,4238
97500,4324
97600,4218
97700,4211
97800,4254
97900,4240
98000,4273
98100,4250
98200,4285
98300,4502
98400,4225
98500,4350
98600,4302
98700,4295
98800,4312
98900,4277
99000,4312
99100,4383
99200,4315
99300,4316
99400,4365
99500,4333
99600,4342
99700,4337
99800,4325
99900,4309
100000,4357
